date,coin,price,market_cap,volume
2026-01-27 03:00:25.225,ethereum,2938.8251967876977,354701498677.1401,27747772080.47733
2026-01-27 04:02:32.656,ethereum,2936.745337516752,354482017196.62976,28888776177.339996
2026-01-27 05:00:36.442,ethereum,2936.998374805877,354518389849.447,28586686022.276894
2026-01-27 06:01:31.593,ethereum,2935.793342789936,354477982439.68494,27625737169.618813
2026-01-27 07:01:53.967,ethereum,2924.5299092900805,352969883466.73303,27318359296.987392
2026-01-27 08:00:31.729,ethereum,2924.8939155951375,352990298496.9357,27295715867.35307
2026-01-27 09:01:45.028,ethereum,2918.831535938616,352302803635.76245,25205483348.79002
2026-01-27 10:00:17.076,ethereum,2904.650561525734,350793844215.79565,26359193747.322742
2026-01-27 11:03:09.592,ethereum,2899.3456735902378,349928060248.36694,26139806612.871685
2026-01-27 12:02:20.341,ethereum,2913.1901213805563,351581072097.2292,25238358929.965363
2026-01-27 13:02:36.011,ethereum,2914.190291906113,351602892342.20087,26146411816.76257
2026-01-27 14:01:42.295,ethereum,2908.2935815599803,350814984900.7834,26204379229.633682
2026-01-27 15:01:31.398,ethereum,2914.0229239545097,351735317033.7128,23402868824.86952
2026-01-27 16:02:13.417,ethereum,2930.5281226928178,353249551579.821,22768107171.82861
2026-01-27 17:01:27.023,ethereum,2987.636272985243,360540728097.6084,22756712232.647594
2026-01-27 18:01:40.477,ethereum,2925.510097184098,353093249456.8511,26105613328.165302
2026-01-27 19:02:01.323,ethereum,2961.4109506464947,357222323828.2156,25735586029.38066
2026-01-27 20:01:48.962,ethereum,2975.950442662949,359179525688.1127,25709049250.62618
2026-01-27 21:01:54.961,ethereum,3017.5331977138517,364199342098.2332,26940879431.51195
2026-01-27 22:01:22.459,ethereum,3012.576998528178,363726631891.9542,27367888082.550953
2026-01-27 23:00:13.197,ethereum,3016.3660575021154,363938474759.76215,27972138414.51573
2026-01-28 00:01:35.726,ethereum,3022.689422002903,364759521456.59375,28817327777.568867
2026-01-28 01:01:58.367,ethereum,3016.8050351310535,364299567218.11414,28522195505.852913
2026-01-28 02:01:08.593,ethereum,3014.623415576846,363847097412.5951,28383120393.730553
2026-01-28 03:02:00.878,ethereum,3006.420625524287,362805805607.9336,27719869535.53389
2026-01-28 04:00:05.667,ethereum,3001.862866870233,362140615127.4337,28487650492.510975
2026-01-28 05:02:01.726,ethereum,2995.900166692166,361512079875.5261,26860754705.150936
2026-01-28 06:01:40.341,ethereum,3002.239689706273,362127228367.0604,28103460699.103664
2026-01-28 07:01:42.777,ethereum,3010.9498621274247,363445354964.2547,26904669857.27512
2026-01-28 08:01:25.606,ethereum,3002.1292677700785,362428263670.7349,28233802872.935387
2026-01-28 09:00:33.870,ethereum,2990.455149662475,360939841437.38354,28430328553.402134
2026-01-28 10:01:46.907,ethereum,3006.777393132976,363131305693.8192,28390702867.226215
2026-01-28 11:02:25.686,ethereum,3021.169284221076,364624056913.7904,27442495339.343792
2026-01-28 12:01:22.371,ethereum,3034.8707898736875,366556879952.0692,27871168487.67711
2026-01-28 13:01:38.435,ethereum,3027.1140774417795,365383726475.6057,27690881374.913986
2026-01-28 14:01:30.057,ethereum,3029.6858647171193,365803723937.6944,27829370260.88984
2026-01-28 15:01:30.221,ethereum,3009.6622479600437,363179002279.6283,29294477265.259018
2026-01-28 16:01:17.619,ethereum,3006.750761854079,362375738925.8347,30051489478.164253
2026-01-28 17:01:42.840,ethereum,3001.2214952640293,361694376679.00183,26720260517.58684
2026-01-28 18:01:46.405,ethereum,3011.3070774834205,364175495019.0697,23038178075.20787
2026-01-28 19:01:59.602,ethereum,3006.1686475559945,362768013879.0177,26659900830.42586
2026-01-28 20:01:36.312,ethereum,3012.852333429486,363918619127.6829,27166537702.755413
2026-01-28 21:01:35.403,ethereum,3008.539024570914,363513915979.2342,24914346183.852802
2026-01-28 22:02:02.322,ethereum,3018.391214508773,364102808336.92957,24114911257.838814
2026-01-28 23:01:41.463,ethereum,3014.8293846586016,363798543482.9065,23347648110.574615
2026-01-29 00:01:34.119,ethereum,3006.3893852437395,362730973871.1418,23215858725.133026
2026-01-29 01:01:25.353,ethereum,3004.3430990828933,362595321008.23737,21923083793.63151
2026-01-29 02:01:38.698,ethereum,2988.4624061262302,360745283808.4959,21996770938.053123
2026-01-29 03:03:09.644,ethereum,2948.2314351448194,355495925044.3689,24259375499.857365
2026-01-29 04:02:31.206,ethereum,2948.3157773899115,355612972374.9901,23512896391.442608
2026-01-29 05:01:25.544,ethereum,2954.5523791101846,356584143052.03094,24936174081.38505
2026-01-29 06:01:12.182,ethereum,2946.0912737409994,355535601245.7154,23673213182.235294
2026-01-29 07:01:10.465,ethereum,2949.391920133197,355940991816.15515,24672384183.55226
2026-01-29 08:00:36.793,ethereum,2959.6697115917145,357050671818.8632,24749967464.70683
2026-01-29 09:02:15.508,ethereum,2947.298144336687,355673653140.34796,25001866427.51001
2026-01-29 10:00:20.031,ethereum,2940.7441011090364,355140940552.523,24912952525.927216
2026-01-29 11:01:51.976,ethereum,2941.6052627478402,355008420227.73865,23215576798.658665
2026-01-29 12:02:17.143,ethereum,2926.743318215907,353173452161.6536,24434680616.02959
2026-01-29 13:01:44.428,ethereum,2931.827534752336,353838646415.06244,22094233143.89398
2026-01-29 14:02:03.564,ethereum,2928.388504255273,353712221804.5524,20386957699.903103
2026-01-29 15:00:44.884,ethereum,2876.3914829563846,347642891630.86694,23976309313.28948
2026-01-29 16:01:50.063,ethereum,2819.1677115637763,339622413478.5168,27136226094.931416
2026-01-29 17:00:24.991,ethereum,2829.080024334856,340941271290.0196,27575314478.40381
2026-01-29 18:01:10.267,ethereum,2819.991203738201,340348774524.98083,31248940848.49137
2026-01-29 19:01:03.223,ethereum,2761.0096451213058,333427244384.01697,33987189500.062172
2026-01-29 20:01:25.548,ethereum,2791.3208808284003,337330886746.50507,35992275011.88154
2026-01-29 21:01:39.530,ethereum,2799.5983219134896,338241496839.2816,35437387749.252045
2026-01-29 22:01:24.650,ethereum,2816.1020842600274,339657496754.2545,36323889147.40653
2026-01-29 23:01:37.228,ethereum,2815.639074661241,339832577503.2405,37779725278.02804
2026-01-30 00:01:41.158,ethereum,2818.817890220326,340223818598.2187,37820864892.228645
2026-01-30 01:02:06.753,ethereum,2800.798505311367,338261766220.96497,39598169137.628265
2026-01-30 02:02:57.959,ethereum,2741.032663533794,330873532536.02765,41817553030.10041
2026-01-30 03:02:11.655,ethereum,2732.3326336698397,329710094229.4981,42513142842.00384
2026-01-30 04:01:36.426,ethereum,2736.9057661775228,330324510566.70404,42637656473.66646
2026-01-30 05:01:36.633,ethereum,2749.058590749346,332220795801.12427,43601836474.462296
2026-01-30 06:01:22.205,ethereum,2743.629352453631,331542407861.3261,45095313820.44786
2026-01-30 07:01:44.969,ethereum,2715.4182627018217,327691288040.7038,44811884346.330376
2026-01-30 08:02:42.873,ethereum,2734.7575869037687,330247199419.3583,46400720471.682396
2026-01-30 09:01:39.029,ethereum,2733.275878857231,329719803903.2046,45942549227.11563
2026-01-30 10:01:14.130,ethereum,2717.825767107707,328216702501.6898,46023156858.77325
2026-01-30 11:01:23.327,ethereum,2730.564123901967,329565383996.02057,48019915025.38018
2026-01-30 12:01:51.768,ethereum,2756.774242405281,332614673037.2958,46782459757.17446
2026-01-30 13:00:58.657,ethereum,2735.0365090464793,330081934561.7491,46967149185.86682
2026-01-30 14:02:02.606,ethereum,2726.0595162670784,328846382679.4285,47551321018.841736
2026-01-30 15:02:19.427,ethereum,2732.0428399700445,329694477020.9659,48184387572.380356
2026-01-30 16:01:20.126,ethereum,2724.9336091217438,329176377115.0507,44526545861.36218
2026-01-30 17:01:03.408,ethereum,2720.695743067765,328409940432.32184,43802293228.62086
2026-01-30 18:01:03.585,ethereum,2710.1138144210013,327487409826.1838,42365435256.02575
2026-01-30 19:01:51.792,ethereum,2736.420244683587,329542435043.92993,41991619847.86564
2026-01-30 20:01:55.895,ethereum,2739.3765388164975,330646594937.6543,42822886175.61544
2026-01-30 21:01:53.205,ethereum,2676.5452118498183,323076080310.37476,43665562540.73449
2026-01-30 22:01:41.965,ethereum,2701.9746602556265,325942797205.33075,43711954138.291245
2026-01-30 23:00:37.090,ethereum,2703.6376134495126,326288259907.4612,43501599988.59068
2026-01-31 00:01:42.938,ethereum,2702.881132998811,326180302117.6014,41581009790.23148
2026-01-31 01:01:04.574,ethereum,2702.571794432879,326337927414.2113,41153041789.36846
2026-01-31 02:00:38.560,ethereum,2695.3462548958773,325530594593.93884,37398064255.0703
2026-01-31 03:00:06.208,ethereum,2701.4971090132262,325971804428.8906,35417401516.84338
2026-01-31 04:01:32.186,ethereum,2691.555427051909,324984192838.85516,34373075279.017
2026-01-31 05:01:37.346,ethereum,2691.1033871723002,324728689335.1241,33669349383.701168
2026-01-31 06:02:27.933,ethereum,2693.9913775104856,325081379365.03516,33083285223.69581
2026-01-31 07:00:47.703,ethereum,2688.5344825573784,324444356111.34485,32143141350.062645
2026-01-31 08:02:52.824,ethereum,2676.3977387996383,322844607297.8045,31014229713.328674
2026-01-31 09:03:17.549,ethereum,2642.6471034226684,318084196905.3453,32752514564.101147
2026-01-31 10:02:43.218,ethereum,2645.6602145316942,319195231616.6361,32494460798.64621
2026-01-31 11:02:12.455,ethereum,2644.6080534143116,319471644371.3612,32511744360.08316
2026-01-31 12:02:13.642,ethereum,2635.923642051235,318229641745.07056,31886351868.79008
2026-01-31 13:02:10.326,ethereum,2628.708358042274,317893403525.82465,32084803982.081364
2026-01-31 14:00:26.604,ethereum,2623.9763305095016,316359458978.03046,33032315619.584892
2026-01-31 15:03:26.015,ethereum,2529.336061059917,306073274152.2382,36488855307.08362
2026-01-31 16:01:51.909,ethereum,2530.6084571579145,306345852087.56854,34882555791.56641
2026-01-31 17:01:57.289,ethereum,2481.3083203684787,299257356393.88916,37843338448.75052
2026-01-31 18:02:40.455,ethereum,2407.2211972802197,289550571185.5547,42202005747.23313
2026-01-31 19:02:28.688,ethereum,2380.2252246052053,286912904215.9129,44844785478.05261
2026-01-31 20:01:27.497,ethereum,2381.734837646449,287986697233.8523,46411421329.09053
2026-01-31 21:03:14.389,ethereum,2385.096734623817,287217616091.68335,44701541135.89484
2026-01-31 22:02:26.499,ethereum,2415.2622820866595,291394765316.73456,46670123158.801796
2026-01-31 23:02:08.084,ethereum,2417.5518942824906,291664814877.16394,46798159161.657135
2026-02-01 00:02:19.629,ethereum,2447.4172724879318,294811189633.8682,48593008352.54956
2026-02-01 01:02:25.275,ethereum,2450.6200707061266,295778407037.8901,50073622225.337135
2026-02-01 02:01:36.881,ethereum,2443.018117511766,294718396078.21075,49868772592.709656
2026-02-01 03:03:54.544,ethereum,2451.7988304322457,296005432391.96423,50640490949.47232
2026-02-01 04:02:35.051,ethereum,2442.432343842371,294493301619.0919,50553477130.70346
2026-02-01 05:01:50.176,ethereum,2446.631910596578,295532050821.35443,51812564138.31416
2026-02-01 06:02:33.209,ethereum,2429.491338962782,292990297052.24774,51362381999.71317
2026-02-01 07:02:35.087,ethereum,2415.7470547281346,291574928375.04004,52852691787.24463
2026-02-01 08:02:19.026,ethereum,2409.2765536334655,290756712081.26135,51461246136.19693
2026-02-01 09:01:37.653,ethereum,2410.3983595148193,290912830577.40125,51057451842.83732
2026-02-01 10:00:57.930,ethereum,2429.8461031462007,293108687190.3884,51422689745.93677
2026-02-01 11:00:54.879,ethereum,2378.0036167878493,286930338601.0064,51834410593.93105
2026-02-01 12:00:57.271,ethereum,2409.668608111813,290730052760.8441,51992701988.08272
2026-02-01 13:01:24.599,ethereum,2394.2414547859385,289097166659.556,52482186173.553825
2026-02-01 14:01:11.112,ethereum,2378.792552618646,286514339583.5987,49775124903.381996
2026-02-01 15:02:23.602,ethereum,2369.0920741653736,286050319489.6995,49596481839.26087
2026-02-01 16:01:25.980,ethereum,2314.5041663240545,279927779260.53174,50711683978.324265
2026-02-01 17:01:57.106,ethereum,2303.4623007771006,278111625385.4938,49746392430.24362
2026-02-01 18:00:22.826,ethereum,2306.892032935197,278157009112.2771,40488136090.67507
2026-02-01 19:01:36.261,ethereum,2347.511527676497,282636373591.0662,40368849233.554955
2026-02-01 20:01:30.756,ethereum,2316.617526472652,279323137069.0535,38720028193.800446
2026-02-01 21:01:24.849,ethereum,2314.0613349678333,279396565028.4177,37832081283.309525
2026-02-01 22:01:56.997,ethereum,2288.185576565293,275732259446.3745,37699432737.24777
2026-02-01 23:02:40.927,ethereum,2313.8455979452497,279851644535.1586,38376202574.69871
2026-02-02 00:00:17.518,ethereum,2269.3288518651166,273917533154.59314,41592993667.771126
2026-02-02 01:02:31.416,ethereum,2289.0029044108774,276520164819.6222,41717966712.36804
2026-02-02 02:00:51.335,ethereum,2292.8036166779275,276732844098.30707,42615715964.77103
2026-02-02 03:02:16.445,ethereum,2260.334983519477,273000521438.4139,41206206297.12933
2026-02-02 04:02:26.141,ethereum,2233.9028236312142,270146012474.53757,47615151067.67339
2026-02-02 05:02:16.747,ethereum,2238.393308995625,270171963165.77866,48665635073.416916
2026-02-02 06:03:23.185,ethereum,2196.4194555007957,265053584749.51318,50606961171.99129
2026-02-02 07:02:36.687,ethereum,2222.1600831437577,267700938154.13412,52531035947.42262
2026-02-02 08:03:46.940,ethereum,2229.150523155317,268973138430.7494,54254015329.196
2026-02-02 09:03:02.487,ethereum,2248.462357639541,271593570053.9438,55124691042.04587
2026-02-02 10:01:52.699,ethereum,2287.9270834333634,276360522787.56726,53167148732.09684
2026-02-02 11:02:57.886,ethereum,2275.7124827257326,274663082144.37735,56062898120.98072
2026-02-02 12:03:03.484,ethereum,2281.4213039251313,275313695600.6415,57791972560.076515
2026-02-02 13:02:54.254,ethereum,2309.7093765845457,278198307180.56854,57487735309.30025
2026-02-02 14:01:32.598,ethereum,2328.2590963432745,280177608055.927,58282959171.441345
2026-02-02 15:02:42.452,ethereum,2326.302873311302,282678917699.3852,59456325225.42632
2026-02-02 16:02:30.551,ethereum,2369.777879742903,286063764222.93866,60891434605.73776
2026-02-02 17:04:04.546,ethereum,2360.041824675292,284541107313.8529,59985892665.034256
2026-02-02 18:02:56.293,ethereum,2354.485486942328,284142759186.0703,58395702562.97844
2026-02-02 19:03:22.046,ethereum,2343.0371273991664,282995965197.9847,57016049961.70547
2026-02-02 20:02:26.596,ethereum,2328.4967031782408,281546133668.2681,56632976011.33382
2026-02-02 21:02:47.892,ethereum,2319.8282887026267,279890359552.95557,53020977762.26736
2026-02-02 22:03:27.608,ethereum,2342.60952897183,282345945309.70917,55360051586.26407
2026-02-02 23:03:24.869,ethereum,2348.3356087961793,283381898565.31964,54808884261.17662
2026-02-03 00:03:38.461,ethereum,2343.6681689255097,282919620245.0613,49848991812.00759
2026-02-03 01:02:32.671,ethereum,2351.4283442323185,283532039198.65875,48735669526.65064
2026-02-03 02:02:30.516,ethereum,2352.0780347286714,283749742498.7651,48405502134.90071
2026-02-03 03:02:32.594,ethereum,2296.718417664161,278214746361.88354,43207926014.456474
2026-02-03 04:02:09.004,ethereum,2340.9819137335394,282067605542.8121,42404730074.984276
2026-02-03 05:03:15.746,ethereum,2342.5644808878756,283092174827.86676,43086111684.80357
2026-02-03 06:04:28.954,ethereum,2315.769253127116,279402985277.75586,41916136194.827545
